STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/15,4.92,,0.07,0,0,,84,60,,260,220,14.1,23,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/16,3.8,,0.01,0,0,,77,59,,150,250,12.1,19.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/17,3.13,,0,0,0,,69,55,,130,120,10.1,16.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/18,,,0,0,0,,70,54,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/19,,,0,0,0,,68,53,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/20,,,0,0,0,,66,49,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/21,,,0,0,0,,68,46,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/22,,,0.03,0,0,,77,54,,,,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/23,,,0.65,0,0,,67,55,,,,,,1,1,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/24,,,0,0,0,,67,52,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/25,,,0,0,0,,71,55,,,,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/26,,,0,0,0,,78,58,,,,,,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/27,,,0,0,0,,79,60,,,,,,,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/28,,,0,0,0,,76,64,,,,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/29,,,0.03,0,0,,81,67,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/30,,,0.02,0,0,,81,67,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/5/31,,,0,0,0,,70,56,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/1,,,0,0,0,,70,51,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/2,,,0,0,0,,72,59,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/3,,,0.45,0,0,,79,60,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/4,,,0.16,0,0,,84,66,,,,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/5,,,0.26,0,0,,79,69,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/6,,,0.06,0,0,,86,70,,,,,,1,,1,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/7,,,0,0,0,,76,63,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/8,,,0,0,0,,79,59,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/9,,,0,0,0,,87,65,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/10,,,0,0,0,,85,70,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/11,,,0.05,0,0,,84,70,,,,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/12,,,0,0,0,,85,69,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/13,,,0,0,0,,75,59,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/14,,,0,0,0,,74,54,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/15,,,0,0,0,,75,59,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/16,,,0,0,0,,78,60,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/17,,,0,0,0,,78,60,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/18,,,0,0,0,,77,65,,,,,,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/19,2.46,,0,0,0,,83,65,,220,220,6.9,12.1,1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/20,1.79,,0,0,0,,86,70,,210,160,6.9,27.1,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/21,2.46,,0,0,0,,88,70,,200,210,10.1,23.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/22,2.91,,0,0,0,,90,72,,170,260,8.1,19.9,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/23,2.46,,0,0,0,,87,74,,170,260,13,23.9,1,,,,,,1
USW00094728,"NY CITY CENTRAL PARK, NY US",2020/6/24,4.25,,0,0,0,,86,74,,260,280,12.1,17,,,,,,,
